city,country,week,year,weekly_avg,weekly_avg_max,weekly_avg_min,weekly_max,weekly_min,lat,lon,avg_precip_mm,avg_wind_kph,week-year,alpha-3
Berlin,Germany,41,2022,12.866666666666667,15.4,11.3,16.416666666666668,9.716666666666667,52.52,13.4,1.1833333333333333,13.066666666666665,41-2022,DEU
Berlin,Germany,42,2022,13.271428571428572,17.2,9.7,17.214285714285715,9.571428571428571,52.52,13.4,2.8857142857142857,15.12857142857143,42-2022,DEU
Berlin,Germany,43,2022,15.342857142857143,16.8,12.7,19.385714285714283,12.171428571428573,52.52,13.4,0.9999999999999999,13.914285714285713,43-2022,DEU
Berlin,Germany,44,2022,11.328571428571427,14.7,8.6,14.542857142857143,8.557142857142859,52.52,13.4,1.1285714285714286,16.928571428571427,44-2022,DEU
Berlin,Germany,45,2022,10.857142857142858,13.1,8.9,13.928571428571429,8.657142857142857,52.52,13.4,0.1285714285714286,15.628571428571428,45-2022,DEU
Berlin,Germany,46,2022,4.228571428571429,8.6,-0.8,6.785714285714286,1.757142857142857,52.52,13.4,1.0142857142857142,16.9,46-2022,DEU
Berlin,Germany,47,2022,3.242857142857143,6.6,-0.3,5.528571428571429,1.342857142857143,52.52,13.4,0.7999999999999999,11.099999999999998,47-2022,DEU
Berlin,Germany,48,2022,1.7571428571428573,4.5,-0.5,3.2285714285714286,0.5142857142857141,52.52,13.4,0.42857142857142855,14.571428571428571,48-2022,DEU
Berlin,Germany,49,2022,0.9285714285714288,3.4,-2.6,2.1,-0.35714285714285715,52.52,13.4,1.5,12.485714285714284,49-2022,DEU
Berlin,Germany,50,2022,-3.828571428571429,-0.9,-5.1,-1.3571428571428572,-5.585714285714286,52.52,13.4,0.14285714285714285,11.342857142857143,50-2022,DEU
Berlin,Germany,51,2022,4.685714285714285,6.4,0.3,6.628571428571429,3.0714285714285716,52.52,13.4,4.728571428571429,18.385714285714283,51-2022,DEU
Berlin,Germany,52,2022,7.516666666666666,12.2,4.2,9.483333333333333,4.933333333333333,52.52,13.4,2.6833333333333336,26.16666666666667,52-2022,DEU
Berlin,Germany,1,2023,7.685714285714285,11.0,5.6,9.642857142857142,5.3428571428571425,52.52,13.4,3.4285714285714284,21.12857142857143,1-2023,DEU
Berlin,Germany,2,2023,6.957142857142856,9.1,5.1,8.6,5.185714285714285,52.52,13.4,3.8142857142857136,23.500000000000004,2-2023,DEU
Berlin,Germany,3,2023,1.4285714285714286,4.4,-0.0,3.642857142857143,-0.5428571428571428,52.52,13.4,1.2,17.699999999999996,3-2023,DEU
Berlin,Germany,4,2023,0.5142857142857142,1.1,-0.2,2.2714285714285714,-1.0857142857142856,52.52,13.4,0.2571428571428572,11.557142857142855,4-2023,DEU
Berlin,Germany,5,2023,3.314285714285714,5.5,-0.4,5.242857142857143,0.9714285714285713,52.52,13.4,3.857142857142857,28.97142857142857,5-2023,DEU
Berlin,Germany,6,2023,1.7428571428571427,7.3,-1.3,4.942857142857143,-0.7571428571428571,52.52,13.4,0.2285714285714286,15.528571428571428,6-2023,DEU
Berlin,Germany,7,2023,6.0,9.3,4.5,9.471428571428572,3.1142857142857143,52.52,13.4,2.3428571428571425,20.057142857142857,7-2023,DEU
Berlin,Germany,8,2023,5.1,9.2,0.4,7.442857142857143,2.871428571428571,52.52,13.4,1.7857142857142858,23.057142857142857,8-2023,DEU
Berlin,Germany,9,2023,2.8857142857142857,4.5,0.8,7.299999999999999,-0.7000000000000001,52.52,13.4,0.27142857142857146,14.928571428571429,9-2023,DEU
Berlin,Germany,10,2023,2.2857142857142856,6.7,0.8,5.257142857142857,-0.24285714285714294,52.52,13.4,6.828571428571429,22.057142857142853,10-2023,DEU
Berlin,Germany,11,2023,7.985714285714287,11.8,3.8,12.499999999999998,3.6000000000000005,52.52,13.4,0.9714285714285714,22.628571428571426,11-2023,DEU
Berlin,Germany,12,2023,9.357142857142858,12.0,7.0,12.214285714285717,7.1571428571428575,52.52,13.4,5.328571428571429,24.171428571428574,12-2023,DEU
Berlin,Germany,13,2023,6.614285714285714,11.9,3.0,10.628571428571428,3.085714285714286,52.52,13.4,2.5142857142857147,22.82857142857143,13-2023,DEU
Berlin,Germany,14,2023,4.728571428571429,8.3,2.2,8.885714285714286,0.38571428571428573,52.52,13.4,0.5571428571428572,13.385714285714286,14-2023,DEU
Berlin,Germany,15,2023,8.742857142857144,10.2,7.0,11.914285714285715,5.471428571428571,52.52,13.4,5.299999999999999,19.599999999999998,15-2023,DEU
Berlin,Germany,16,2023,9.885714285714284,13.9,5.1,14.257142857142858,6.299999999999999,52.52,13.4,1.157142857142857,19.228571428571428,16-2023,DEU
